epoch,stable_dims,step,train_C,train_D,train_D_topk,train_I,train_I_topk,train_cluster,train_dim_kl,train_kl,train_loss,train_pred,train_recon,val_C,val_D,val_D_topk,val_I,val_I_topk,val_dim_kl,val_kl,val_loss,val_pred,val_recon
9,0.0,479,0.7753063440322876,0.44096943736076355,0.4161035716533661,0.09652481973171234,0.3153555989265442,,,,,,,0.8178852200508118,0.4910287857055664,0.6765598654747009,0.14246594905853271,0.4283705949783325,4564.74853515625,0.004564748145639896,3.445077896118164,3.240385055541992,0.04002556577324867
9,,479,,,,,,0.7102327346801758,3672.510009765625,0.0036725110840052366,1.4513096809387207,0.9069644808769226,0.03711125999689102,,,,,,,,,,
10,3.0,527,0.7623456716537476,0.5249921083450317,0.6233859658241272,0.11500564962625504,0.4267479181289673,,,,,,,0.79548180103302,0.48998478055000305,0.6874185800552368,0.15533874928951263,0.5086938738822937,3382.868408203125,0.003382868831977248,0.8693263530731201,0.6909208297729492,0.03500453382730484
10,,527,,,,,,0.7207358479499817,3611.118408203125,0.003611119231209159,1.223549246788025,0.6826912760734558,0.03537576645612717,,,,,,,,,,
11,7.0,575,0.748989999294281,0.5572848916053772,0.6616738438606262,0.12661421298980713,0.49272415041923523,,,,,,,0.7931632399559021,0.5123453736305237,0.7322591543197632,0.16234107315540314,0.5319138169288635,2835.48681640625,0.0028354867827147245,2.2218098640441895,2.04591703414917,0.03461148217320442
11,,575,,,,,,0.718562126159668,3616.419189453125,0.0036164189223200083,1.121350884437561,0.5869552493095398,0.03429963439702988,,,,,,,,,,
12,6.0,623,0.7347859144210815,0.5248565077781677,0.7327252626419067,0.13797955214977264,0.5302762985229492,,,,,,,0.7665966153144836,0.4618702530860901,0.7393017411231995,0.18645024299621582,0.5643177628517151,2637.149169921875,0.002637149067595601,1.4085478782653809,1.2394930124282837,0.0332835353910923
12,,623,,,,,,0.6616809964179993,3354.7421875,0.0033547428902238607,1.0266391038894653,0.5264739394187927,0.03319397196173668,,,,,,,,,,
13,17.0,671,0.7303004860877991,0.5379834771156311,0.7645638585090637,0.13851667940616608,0.5421018004417419,,,,,,,0.7828670144081116,0.47383248805999756,0.7510308623313904,0.1850031167268753,0.5635126233100891,5103.7099609375,0.005103709641844034,0.771308958530426,0.6045524477958679,0.03233056142926216
13,,671,,,,,,0.6450064778327942,3521.286865234375,0.003521287813782692,0.9689268469810486,0.48091891407966614,0.032396696507930756,,,,,,,,,,
14,17.0,719,0.7360071539878845,0.5331308245658875,0.7391753792762756,0.14062704145908356,0.5646457076072693,,,,,,,0.75623619556427,0.4507301449775696,0.7921440005302429,0.20445717871189117,0.6017645001411438,3107.536865234375,0.003107537282630801,0.9728848934173584,0.8085440397262573,0.03224668651819229
