epoch,stable_dims,step,train_C,train_D,train_D_topk,train_I,train_I_topk,train_cluster,train_dim_kl,train_kl,train_loss,train_pred,train_recon,val_C,val_D,val_D_topk,val_I,val_I_topk,val_dim_kl,val_kl,val_loss,val_pred,val_recon,w_cluster,w_pred,w_recon
49,16.0,2399,0.6541308164596558,0.42091479897499084,0.6394108533859253,0.2003050595521927,0.7965487241744995,,,,,,,0.6507548093795776,0.4304444193840027,0.5815048217773438,0.2452191859483719,0.5388476848602295,2311.58984375,0.0023115898948162794,0.6251851916313171,0.5240622758865356,0.019762273877859116,,,
49,,2399,,,,,,0.6718616485595703,2794.8056640625,0.0027948059141635895,0.03128692880272865,0.06806668639183044,0.0187809057533741,,,,,,,,,,,0.015831811353564262,0.05060702934861183,0.9335609078407288
50,14.0,2447,0.6619051098823547,0.3978535532951355,0.7732961177825928,0.1849554032087326,0.0795762836933136,,,,,,,0.670587956905365,0.4098823368549347,0.658989429473877,0.2288368195295334,0.16814768314361572,2574.20654296875,0.0025742065627127886,1.1030324697494507,1.0009503364562988,0.019901573657989502,,,
50,,2447,,,,,,1.3151803016662598,2631.847900390625,0.002631847746670246,0.11011192202568054,1.2443829774856567,0.018701637163758278,,,,,,,,,,,0.016393335536122322,0.060426015406847,0.9231807589530945
51,17.0,2495,0.6569878458976746,0.4008547067642212,0.6068483591079712,0.19684992730617523,0.768324077129364,,,,,,,0.6472512483596802,0.43305641412734985,0.6034578680992126,0.243608295917511,0.5429335832595825,2407.61083984375,0.002407610649242997,0.6026667952537537,0.5024886131286621,0.01955411396920681,,,
51,,2495,,,,,,1.2212032079696655,2929.237060546875,0.0029292369727045298,0.04834240302443504,0.10048963874578476,0.01854267530143261,,,,,,,,,,,0.019872190430760384,0.06851032376289368,0.9116173386573792
52,16.0,2543,0.6571865677833557,0.41046470403671265,0.6293356418609619,0.200483500957489,0.7892741560935974,,,,,,,0.6563089489936829,0.4423207938671112,0.5945355892181396,0.2417358160018921,0.5435388088226318,2171.03955078125,0.0021710398141294718,0.6260345578193665,0.525891125202179,0.019594473764300346,,,
52,,2543,,,,,,0.888518750667572,2941.253173828125,0.002941253362223506,0.03618441894650459,0.0649673342704773,0.018442124128341675,,,,,,,,,,,0.017645109444856644,0.05241088569164276,0.9299439787864685
53,12.0,2591,0.6629138588905334,0.401419997215271,0.11955997347831726,0.19361692667007446,0.3311350345611572,,,,,,,0.662846565246582,0.42652395367622375,0.21053002774715424,0.2339358627796173,0.4202437996864319,2073.02197265625,0.002073021838441491,0.8555078506469727,0.7558539509773254,0.01951618865132332,,,
53,,2591,,,,,,1.2127701044082642,2663.896240234375,0.0026638961862772703,0.0958026573061943,1.1634042263031006,0.01836436055600643,,,,,,,,,,,0.013965354301035404,0.05421104654669762,0.9318235516548157
54,14.0,2639,0.6557652950286865,0.38993364572525024,0.6420387625694275,0.18356724083423615,0.04724181443452835,,,,,,,0.6498168110847473,0.44548431038856506,0.737729549407959,0.2263549268245697,0.12119743227958679,2424.97998046875,0.002424980280920863,1.1192967891693115,1.0198744535446167,0.019399462267756462,,,
